Timestamp,Profil A,Profil B,NO1,NO2,NO3,NO4,NO5
2024-06-13 09:00:00,1.64,0.525,0.9750672969213761,1.014400050872479,1.143859064074444,1.369582061459143,1.094424787746717
2024-06-13 10:00:00,1.64,0.509,0.9491859956991748,0.9954565724506208,1.106670695254721,1.32598166864438,1.070140044208043
2024-06-13 11:00:00,0.29,0.461,0.9391219739097808,0.9890913949845531,1.080054435674391,1.289982200581038,1.058037506541385
2024-06-13 12:00:00,0.09,0.517,0.9298200539828966,0.983954642999158,1.061606859541537,1.265698391914563,1.050497145222641
2024-06-13 13:00:00,0.08,1.02,0.9288886627740596,0.9812817288915433,1.051759597738023,1.257283194893408,1.046685334020667
2024-06-13 14:00:00,0.04,0.481,0.9460120157824113,1.005992005293314,1.074210322137837,1.28162821719383,1.078524927556607
2024-06-13 15:00:00,0.08,0.481,1.001481940440748,1.077939535804727,1.153090822279584,1.355345472400671,1.151342721684592
2024-06-13 16:00:00,0.11,0.426,1.11521614508335,1.161812637947328,1.258865305899146,1.437244158926306,1.249874913106982
2024-06-13 17:00:00,0.22,0.438,1.163109294924499,1.163171963468408,1.260282150370779,1.421872948974999,1.254408112097851
2024-06-13 18:00:00,0.07,0.44,1.17114640521332,1.16689199740486,1.252474647249867,1.416703302099104,1.23835426576376
2024-06-13 19:00:00,1.03,1.087,1.202254162960756,1.20650031151344,1.2890134932832,1.460061377306764,1.261732002405667
2024-06-13 20:00:00,0.35,0.715,1.241053347857173,1.260210718316185,1.350424245137096,1.516077662752158,1.306128203325757
2024-06-13 21:00:00,0.09,0.842,1.263153992980952,1.290885535312101,1.386445890094149,1.558527763001759,1.354770016636596
2024-06-13 22:00:00,0.14,1.572,1.246172910615698,1.283973881167684,1.380775552936144,1.562854576701175,1.360966640891659
2024-06-13 23:00:00,0.14,1.114,1.170414429114061,1.225068154633018,1.314511869414064,1.498209010188633,1.314480477384383
2024-06-14 00:00:00,0.23,0.811,1.040318958547199,1.103771419188244,1.201764378220304,1.369907036121704,1.212705652640828
2024-06-14 01:00:00,0.76,1.109,0.9434763302052199,1.020442164167091,1.097485054807329,1.255047954958346,1.113385141071952
2024-06-14 02:00:00,0.11,0.66,0.8928032740717862,0.9840327638721642,1.041335518332106,1.187755937085713,1.060966904227277
2024-06-14 03:00:00,0.13,0.702,0.8539564123295511,0.955286136529013,1.001617537350548,1.151612424098594,1.022852992287416
2024-06-14 04:00:00,0.15,0.71,0.8289497896926697,0.925085869936185,0.9676609405773171,1.126835954761944,0.9966642585180122
2024-06-14 05:00:00,0.16,0.716,0.8352762702471906,0.9143821035075632,0.960340829967971,1.127924556866724,0.995626593771356
2024-06-14 06:00:00,0.17,0.697,0.9073220927169163,0.9958657183517609,1.031392066365608,1.212397215993715,1.05411976959875
2024-06-14 07:00:00,0.17,0.919,1.032250061320712,1.099458926030149,1.130928044243738,1.348080983322149,1.144349663184614
2024-06-14 08:00:00,1.35,0.853,1.034800094479319,1.080897883355979,1.112381383412577,1.341706820078888,1.122924807185395
2024-06-14 09:00:00,1.69,0.779,0.9975911407469316,1.042415691628084,1.062883800505302,1.303810332411333,1.076289055940642
2024-06-14 10:00:00,1.57,0.691,0.9716811868055997,1.01954218799302,1.025739103188971,1.273253121982356,1.044984399101826
2024-06-14 11:00:00,0.09,0.763,0.9586367724411095,1.00927359893878,1.002565351025524,1.245361789881995,1.025132090207947
2024-06-14 12:00:00,0.12,0.858,0.9457612398593711,1.005345443774027,0.9821362424652357,1.224397616982275,1.005661505418334
2024-06-14 13:00:00,0.03,1.923,0.9426558227422622,1.010922997173086,0.9771189846221178,1.228326281935875,0.9955090110319242
2024-06-14 14:00:00,0.03,1.402,0.964465601351781,1.047057497762295,0.9985206497304394,1.256625640354179,1.009651000683394
