startTime,NO1,NO2,NO3,NO4,NO5
2024-07-22 04:00:00+02:00,0.5878433394765273,0.656768975422096,0.654104642117794,0.8063967833243345,0.65010857602273
2024-07-22 05:00:00+02:00,0.5715462146728522,0.6452554127035695,0.6437111593241231,0.8004740751648424,0.6425470873369603
2024-07-22 06:00:00+02:00,0.5904564725962106,0.6682596682417197,0.6694014876447943,0.8336832654330076,0.6668966849578106
2024-07-22 07:00:00+02:00,0.6268121362881188,0.7152368851905342,0.7181718321690139,0.8932963971923624,0.7037892329427927
2024-07-22 08:00:00+02:00,0.6819588920462283,0.7776206298711116,0.779646653296254,0.9410079517007804,0.7576461405165753
2024-07-22 09:00:00+02:00,0.738819871265286,0.8426583764623387,0.8420771358488597,0.9883226165349565,0.8118868889183768
2024-07-22 10:00:00+02:00,0.7785190968597082,0.8835658386112086,0.8826038008752899,1.0087541926405863,0.840969183455231
2024-07-22 11:00:00+02:00,0.802672743284097,0.899931325971649,0.9011228164351697,1.0087637232284559,0.8455677800067128
2024-07-22 12:00:00+02:00,0.811952391760252,0.8973193004577197,0.9025297914165928,0.9983940754920729,0.8335677487842764
2024-07-22 13:00:00+02:00,0.822323489092048,0.8935465069526424,0.9052960751128906,0.9935660760156416,0.8216385924925652
2024-07-22 14:00:00+02:00,0.8410070903957367,0.9022234623933301,0.9205629241937369,1.0063331778988531,0.8319044905669214
2024-07-22 15:00:00+02:00,0.8708970939363953,0.9298491583812872,0.9749038349226231,1.0522005022987941,0.8567463879543841
2024-07-22 16:00:00+02:00,0.9259367765481302,0.9662744580863265,1.0401185443646692,1.1035676303604443,0.8952677714205428
2024-07-22 17:00:00+02:00,0.9577673878110559,0.9754489544499805,1.056826241795711,1.1207890754102654,0.9121770624370673
2024-07-22 18:00:00+02:00,0.9682379322553994,0.9817977638321073,1.0672184819859785,1.1353269850619283,0.9244553636243005
2024-07-22 19:00:00+02:00,0.9599152965528512,0.9934362425174259,1.0753875804275053,1.1519703365565535,0.9367239468281907
2024-07-22 20:00:00+02:00,0.9539565497644101,1.0117755854983612,1.0863487590119811,1.1726274971776371,0.9569498021278091
2024-07-22 21:00:00+02:00,0.9450172584408393,1.0191508866508625,1.0852856869484395,1.1793605098250954,0.9725936477953057
2024-07-22 22:00:00+02:00,0.9400357697300928,1.0166019061465668,1.071534888575753,1.1725937515338931,0.979089826949646
2024-07-22 23:00:00+02:00,0.8793920598462084,0.9606878339214319,1.0149695686426545,1.126556880839019,0.9369572174564642
2024-07-23 00:00:00+02:00,0.7764722276945032,0.857782093344913,0.9198710684321445,1.0361032368376917,0.8343047039952542
2024-07-23 01:00:00+02:00,0.7001305479473197,0.777039403004278,0.8381251739631794,0.9397776386997018,0.7533072368857545
2024-07-23 02:00:00+02:00,0.6546851915232802,0.7202463572324617,0.7863374786273808,0.870389132275522,0.7076203708401468
2024-07-23 03:00:00+02:00,0.6252597568249432,0.6937228601756248,0.7460332418784048,0.8257616365399011,0.6814235312942719
2024-07-23 04:00:00+02:00,0.6064410069440976,0.6708888191965003,0.7289867390353493,0.8000146031979777,0.6687271932529104
2024-07-23 05:00:00+02:00,0.6017096061682543,0.6560139920872334,0.7129483279653267,0.7901027541549575,0.671857557107119
2024-07-23 06:00:00+02:00,0.6148845540353206,0.6778505259094857,0.7414017455962464,0.8198430053954112,0.6916891920898883
